doc_id,type_decision,formation,judge_rapporteur_name,predicted_author,max_probability,prob_rapporteur,norm_rapporteur,rapporteur_rank,top1_match,top3_match,prob_David Uhlíř,prob_Eliška Wagnerová,prob_Iva Brožová,prob_Ivana Janů,prob_Jan Filip,prob_Jan Musil,prob_Jiří Nykodým,prob_Jiří Zemánek,prob_Josef Fiala,prob_Kateřina Šimáčková,prob_Ludvík David,prob_Michaela Židlická,prob_Miloslav Výborný,prob_Pavel Varvařovský,prob_Radovan Suchánek,prob_Stanislav Balík,prob_Vladimír Kůrka,prob_Vladimír Sládeček,prob_Vojtěch Šimíček
ECLI:CZ:US:2023:4.US.1971.23.1,Nález,Fourth Chamber,Vojtěch Šimíček,Radovan Suchánek,0.1402108694465261,0.0021452544727118,0.052130605504577,9,0,0,0.0004228942964053,0.0005363255710507,0.0004143570452431,0.0092416430701688,0.0004777319018886,0.0370977059331247,0.0022017083986138,0.0005176753167716,0.0074183993410559,0.0001701995085701,0.0005501791295511,0.0008731326630048,0.0045954630364542,0.0002328371001203,0.1402108694465261,0.0021728905540603,0.0002414028468035,0.0031679255776104,0.0021452544727118
ECLI:CZ:US:2023:3.US.3454.21.1,Nález,Third Chamber,Vojtěch Šimíček,Radovan Suchánek,0.9764329864582378,0.0166913563252772,0.0490735168472214,2,0,1,7.666865479637022e-05,0.0003474496440094,0.000238569376423,0.0145646444683406,0.001994763521,0.0030022641198888,0.0004778608090421,0.0002813593773518,0.0094477732551531,6.69408376001293e-05,0.0009445069263314,7.433891537137404e-05,0.0009041284319194,1.960999642944813e-05,0.9764329864582378,0.0058444269958406,0.0027660514314778,0.0075139448218117,0.0166913563252772
ECLI:CZ:US:2023:4.US.2421.23.1,Usnesení,Fourth Chamber,Vojtěch Šimíček,Josef Fiala,0.3550268134845065,0.0004502615587226,0.05114301584362,12,0,0,0.000118977059128,0.0016111946061729,0.0002530713389442,0.0015751141314853,0.0005820404299557,0.0034668959476257,0.000115139733827,0.0022526442996619,0.3550268134845065,8.544518061063095e-05,0.0010028103518615,0.0005020141855661,0.0003465182797106,0.0003810135050169,0.0728244124851343,0.0013042713108194,0.0002068379763116,0.0447726180032438,0.0004502615587226
ECLI:CZ:US:2023:4.US.1779.23.2,Usnesení,Fourth Chamber,Vojtěch Šimíček,Radovan Suchánek,0.096212379448788,0.0073190482495379,0.0525703077949065,5,0,0,0.0007297299127041,0.0006181895245262,0.0016443531646667,0.0008129928247698,0.0007744253146045,0.0106539830888385,0.0006292743252417,0.0007695719528266,0.0174073311214969,0.0007164771944356,0.0013421295774205,0.0002066572816642,0.0013013467501297,0.0002617568736779,0.096212379448788,0.0019294945093525,0.0001348507999546,0.0133029779132849,0.0073190482495379
ECLI:CZ:US:2023:4.US.2019.23.1,Usnesení,Fourth Chamber,Vojtěch Šimíček,Radovan Suchánek,0.8362498155339501,0.0006186892342335,0.0490188928716332,10,0,0,0.0007386109957359,0.0002826517743374,0.0006042411719908,0.0449038616274966,0.000817029515803,0.0006023202868176,0.0005824958631829,3.510924550396907e-05,0.0192384314897658,0.0003646247681701,0.0008831423681727,0.0003485060721861,0.0091236167250152,9.190406127173194e-05,0.8362498155339501,0.0219302283658939,6.272893823950355e-05,0.0024995672400762,0.0006186892342335
ECLI:CZ:US:2023:4.US.1875.23.1,Usnesení,Fourth Chamber,Vojtěch Šimíček,Josef Fiala,0.3240315367970239,0.0003701009284909,0.0506081295950521,15,0,0,0.0004694078419151,0.0004908295747654,0.0002174057981321,0.0008926034000455,0.0006012262406978,0.0008617928827139,4.006096036768108e-05,0.0001950805054032,0.3240315367970239,0.0004455354364087,0.0025128188588048,0.000444358552651,0.0050428566228069,0.0007434833026125,0.3103916267429774,0.0001982353072771,0.0014649909998643,0.0053118473552518,0.0003701009284909
ECLI:CZ:US:2023:4.US.1827.23.1,Usnesení,Fourth Chamber,Vojtěch Šimíček,Josef Fiala,0.7463281088092919,0.0002177828501982,0.0495878743515622,14,0,0,0.0001392508006922,0.0024572460018813,0.0005874839443861,0.000129835801437,0.0008205773484447,0.0021360592089066,0.0001965803481816,0.0002836210331761,0.7463281088092919,0.0001145497604151,0.0003211656883799,0.0007266436757011,0.0017599105574923,0.0003835514656737,0.0430019639076384,0.001637141819776,0.0001772823661339,0.0053197708800298,0.0002177828501982
ECLI:CZ:US:2023:2.US.3447.21.1,Nález,Second Chamber,Ludvík David,Ludvík David,0.183441366106006,0.183441366106006,0.0616803113044857,1,1,1,0.0615064614900551,0.0008247740510154,0.000583225477083,0.0019510375277633,0.0004257415395945,0.0278613704999647,0.0016060679027704,0.0297158037932797,0.0038022399597881,0.0040326684873082,0.183441366106006,0.001623810543282,0.0011991770821408,8.927150054561724e-05,0.0126140603717211,0.0002478429153463,0.0003730115368362,0.1171325979850836,1.361236141346487e-05
ECLI:CZ:US:2023:Pl.US.22.22.1,Nález,Plenum,Vladimír Sládeček,Ivana Janů,0.6489315915223302,0.0047313528657246,0.049736514108949,7,0,0,0.0003358540839357,0.0006301514669666,0.0011199183485697,0.6489315915223302,9.385683743297776e-05,0.0048145003966682,0.0010981737118992,0.0279290538031521,0.0036058115097755,0.0903630444671923,0.001373478899948,0.0003552394563417,0.0001552133868837,0.0005919231193683,0.101317588585335,0.0015352954914275,0.0001010682120023,0.0047313528657246,0.0370199495070731
ECLI:CZ:US:2023:3.US.2953.22.1,Usnesení,Third Chamber,Jiří Zemánek,Josef Fiala,0.1017835303073627,0.0003980972778575,0.0519924725451349,14,0,0,0.000783134810655,0.0003231856706061,0.0020770174848373,0.008716326065017,0.0001015786284025,0.0284069455721673,0.0036418532394878,0.0003980972778575,0.1017835303073627,0.0003694909819857,0.0334697734770107,0.000890205451069,0.0009746242824488,9.471833264170283e-05,0.0297932206266476,0.008035262139316,0.0002042041393183,0.0136091912839242,0.0005833246960203
ECLI:CZ:US:2023:2.US.2533.20.1,Nález,Second Chamber,David Uhlíř,Ivana Janů,0.1054984303853493,0.0006311748810606,0.051760427124534,13,0,0,0.0006311748810606,0.0033658326033566,0.0001794188967373,0.1054984303853493,0.0002710684591295,0.0241738908769672,0.0051387710981541,0.0021823891816093,0.0006125664629814,0.0911567326768914,0.0459679641099561,0.00130822206456,0.0003168509643053,0.0004248036338291,0.0078059708893513,0.0114294226011703,3.3332196513848073e-05,0.0033654127198292,0.0164368358502235
ECLI:CZ:US:2023:Pl.US.92.20.1,Nález,Plenum,Jan Filip,Vojtěch Šimíček,0.9949949260869672,0.0086883781033779,0.0481789753866215,7,0,0,0.0005048438256188,0.0017271494540157,0.0004074882782519,0.0112999036585278,0.0086883781033779,0.0016907672993393,0.000580585681101,0.0005765822049817,0.000355279861284,0.1371711808806389,0.0013895167569715,0.0002048497777924,0.0001695055476975,0.0003224842160926,0.0097616639545433,0.0175401883493881,0.0003300472896401,0.0290434483011278,0.9949949260869672
ECLI:CZ:US:2023:3.US.2329.21.1,Nález,Third Chamber,Radovan Suchánek,Stanislav Balík,0.9728452616405464,0.1615942976535529,0.0560400555829237,2,0,1,0.0001467124882146,0.0026670705314421,6.040878531984576e-05,0.0715042642288558,0.0001537483182635,0.0003243182330908,0.0005044114939421,0.0015357420427704,0.013786210080022,0.0007962010391169,0.0013719327230424,0.0002096534245951,0.000205892715583,9.649927946412948e-05,0.1615942976535529,0.9728452616405464,0.0027145720780923,0.0188625216672582,0.0346892434882507
ECLI:CZ:US:2022:3.US.3110.22.1,Usnesení,Third Chamber,Vojtěch Šimíček,Jan Filip,0.8370854102579975,0.0002053452300299,0.0490500810572294,15,0,0,0.0009654975905864,0.00106705174896,0.0003094498045195,0.0006435633636714,0.8370854102579975,0.0007555911152232,0.0001142061342547,0.0003245938656531,0.0575674151972798,0.0003731802474464,0.0001844692994515,6.813720731324355e-05,0.0001046150616573,0.0003899575390611,0.0104160115571391,0.0021168778424131,0.0006677575694477,0.0038583056379331,0.0002053452300299
