doc_id,prob_David Uhlíř,prob_Eliška Wagnerová,prob_Iva Brožová,prob_Ivana Janů,prob_Jan Filip,prob_Jan Musil,prob_Jiří Nykodým,prob_Jiří Zemánek,prob_Josef Fiala,prob_Kateřina Šimáčková,prob_Ludvík David,prob_Michaela Židlická,prob_Miloslav Výborný,prob_Pavel Varvařovský,prob_Radovan Suchánek,prob_Stanislav Balík,prob_Vladimír Kůrka,prob_Vladimír Sládeček,prob_Vojtěch Šimíček,norm_David Uhlíř,norm_Eliška Wagnerová,norm_Iva Brožová,norm_Ivana Janů,norm_Jan Filip,norm_Jan Musil,norm_Jiří Nykodým,norm_Jiří Zemánek,norm_Josef Fiala,norm_Kateřina Šimáčková,norm_Ludvík David,norm_Michaela Židlická,norm_Miloslav Výborný,norm_Pavel Varvařovský,norm_Radovan Suchánek,norm_Stanislav Balík,norm_Vladimír Kůrka,norm_Vladimír Sládeček,norm_Vojtěch Šimíček,predicted_author,max_probability
ECLI:CZ:US:2023:4.US.1971.23.1,0.0004228942964053472,0.0005363255710507817,0.000414357045243168,0.009241643070168807,0.00047773190188869617,0.03709770593312473,0.0022017083986138786,0.0005176753167716502,0.0074183993410559855,0.0001701995085701356,0.0005501791295511839,0.0008731326630048257,0.0045954630364542,0.00023283710012031108,0.14021086944652617,0.0021728905540603248,0.00024140284680354356,0.003167925577610448,0.0021452544727118715,0.05204089510467669,0.05204679850455086,0.05204045082038096,0.052501860265091,0.052043748981000594,0.05398491552727786,0.05213354856499034,0.052045827827576045,0.052406223788392166,0.05202774630311623,0.05204751954291316,0.05206433118780098,0.05225849297212029,0.05203100529790518,0.05984858737490544,0.05213204621013919,0.05203145098422504,0.05218394523836092,0.05213060550457708,Radovan Suchánek,0.14021086944652617
ECLI:CZ:US:2023:3.US.3454.21.1,7.666865479637022e-05,0.00034744964400949,0.00023856937642300648,0.01456464446834061,0.0019947635210000613,0.0030022641198888646,0.00047786080904216766,0.00028135937735189703,0.009447773255153122,6.69408376001293e-05,0.000944506926331414,7.433891537137404e-05,0.0009041284319194489,1.960999642944813e-05,0.9764329864582378,0.0058444269958406545,0.0027660514314778967,0.00751394482181178,0.016691356325277247,0.04826491165433494,0.04827798264446494,0.048272726410951323,0.04896926251583655,0.04835757717581703,0.04840632201488652,0.04828427904297844,0.04827479204515322,0.04871933307981835,0.04826444214438103,0.04830681597229627,0.0482647992097984,0.04830486545517721,0.04826215780179606,0.1281320211579939,0.04854409636210223,0.04839488917777105,0.048625209287221194,0.04907351684722142,Radovan Suchánek,0.9764329864582378
ECLI:CZ:US:2023:4.US.2421.23.1,0.00011897705912804581,0.0016111946061729302,0.0002530713389442929,0.0015751141314853093,0.0005820404299557317,0.0034668959476257546,0.00011513973382704225,0.002252644299661945,0.35502681348450654,8.544518061063095e-05,0.0010028103518615555,0.0005020141855661229,0.0003465182797106521,0.00038101350501691894,0.07282441248513434,0.0013042713108194829,0.00020683797631167934,0.044772618003243884,0.0004502615587226729,0.051126075761356846,0.051202423938597245,0.05113293193534248,0.05120057656416366,0.05114975585660532,0.05129752856098133,0.0511258795743492,0.05123527825380725,0.07290830038093814,0.051124361436737764,0.05117128266398153,0.05114566269752493,0.05113771037466604,0.05113947441193231,0.054981682887541496,0.05118671113334826,0.051130567942605926,0.05346077978190027,0.05114301584362009,Josef Fiala,0.35502681348450654
ECLI:CZ:US:2023:4.US.1779.23.2,0.0007297299127041405,0.0006181895245262483,0.001644353164666796,0.0008129928247698478,0.0007744253146045635,0.010653983088838585,0.0006292743252417169,0.0007695719528266712,0.017407331121496922,0.0007164771944356199,0.0013421295774205754,0.00020665728166424681,0.0013013467501297768,0.00026175687367796914,0.09621237944878804,0.0019294945093525828,0.00013485079995464677,0.013302977913284938,0.0073190482495379934,0.052225044077306194,0.05221921920047775,0.052272832167672006,0.05222939266759446,0.052227378348805704,0.052745919009103526,0.05221979804332428,0.052227124871058975,0.05310333607999723,0.052224351958096715,0.05225703647185493,0.05219773372936497,0.05225490532561915,0.05220060988243419,0.057457457302775246,0.05228773943856546,0.05219398572831963,0.052885827902723115,0.05257030779490657,Radovan Suchánek,0.09621237944878804
ECLI:CZ:US:2023:4.US.2019.23.1,0.0007386109957359823,0.00028265177433748815,0.0006042411719908062,0.04490386162749662,0.0008170295158030797,0.0006023202868176288,0.0005824958631829059,3.510924550396907e-05,0.01923843148976583,0.0003646247681701656,0.0008831423681727707,0.0003485060721861099,0.009123616725015217,9.190406127173194e-05,0.8362498155339501,0.021930228365893905,6.272893823950355e-05,0.0024995672400762586,0.0006186892342335911,0.049024771656103416,0.049002423454711286,0.04901818464873425,0.051238487825980956,0.04902861625688529,0.04901809049052058,0.04901711874476111,0.04899029477213465,0.04994016230580422,0.04900644049470908,0.04903185778570595,0.04900565058115968,0.049437572899099544,0.04899307724591493,0.11305075971920187,0.05007477216861708,0.04899164788770951,0.04911117819061318,0.049018892871633295,Radovan Suchánek,0.8362498155339501
ECLI:CZ:US:2023:4.US.1875.23.1,0.0004694078419151812,0.000490829574765431,0.00021740579813215937,0.0008926034000455198,0.0006012262406978676,0.0008617928827139861,4.006096036768108e-05,0.00019508050540323934,0.32403153679702396,0.0004455354364087679,0.002512818858804877,0.00044435855265106863,0.005042856622806921,0.0007434833026125452,0.3103916267429774,0.00019823530727717511,0.001464990999864333,0.0053118473552518355,0.00037010092849096884,0.05061315558174984,0.050614239814860455,0.05060040257006093,0.050634579377282815,0.05061982776662467,0.05063301932373049,0.05059142964555076,0.050599272913871354,0.0699495076991746,0.05061194733839773,0.05071668480181547,0.05061188777405402,0.050845162387668015,0.050627029306820205,0.06900188017483555,0.05059943254480417,0.050663570278865186,0.050858841104781546,0.050608129595052107,Josef Fiala,0.32403153679702396
ECLI:CZ:US:2023:4.US.1827.23.1,0.0001392508006922026,0.0024572460018813524,0.0005874839443861983,0.00012983580143700543,0.0008205773484447703,0.0021360592089066563,0.00019658034818162922,0.0002836210331761357,0.7463281088092919,0.00011454976041511685,0.0003211656883799939,0.0007266436757011501,0.0017599105574923187,0.0003835514656737698,0.04300196390763844,0.001637141819776082,0.00017728236613392308,0.005319770880029885,0.00021778285019825625,0.04958398026706596,0.04969904900825281,0.04960621043219413,0.049583513436126284,0.049617774660366515,0.04968308889331423,0.049586822975702216,0.04959113923458306,0.10456999555301717,0.04958275550629877,0.04959300115175909,0.04961311409945453,0.049664404180763934,0.0495960951461939,0.05175549014011728,0.049658307318812905,0.04958586605931593,0.04984151758509919,0.049587874351562214,Josef Fiala,0.7463281088092919
ECLI:CZ:US:2023:2.US.3447.21.1,0.06150646149005518,0.0008247740510154542,0.0005832254770830938,0.0019510375277633591,0.00042574153959458265,0.027861370499964712,0.0016060679027704063,0.02971580379327971,0.0038022399597881927,0.00403266848730828,0.183441366106006,0.0016238105432820364,0.0011991770821408974,8.927150054561724e-05,0.012614060371721185,0.0002478429153463109,0.0003730115368362381,0.11713259798508369,1.361236141346487e-05,0.05459978099793446,0.05138509676831785,0.05137268627040147,0.05144300252850759,0.051364596534506694,0.052793325974562266,0.0514252593158275,0.052891318508140314,0.05153832214062662,0.05155019940868648,0.06168031130448573,0.05142617174381117,0.051404339106272644,0.05134731679392551,0.05199447539833713,0.051355459656191274,0.051361888150596925,0.05772301735176807,0.0513434320471003,Ludvík David,0.183441366106006
ECLI:CZ:US:2023:Pl.US.22.22.1,0.00033585408393575886,0.0006301514669666741,0.0011199183485697927,0.6489315915223302,9.385683743297776e-05,0.004814500396668289,0.0010981737118992176,0.027929053803152137,0.003605811509775554,0.09036304446719234,0.0013734788999480074,0.0003552394563417706,0.00015521338688372457,0.0005919231193683894,0.10131758858533502,0.001535295491427596,0.00010106821200231917,0.004731352865724614,0.037019949507073116,0.049518377083495525,0.04953295235691035,0.049557217898267,0.09472136598511612,0.0495063952224372,0.049740649749226734,0.049556140306285364,0.05090377341038926,0.04968056509778821,0.054183208017741194,0.04956978524698666,0.04951933702498061,0.04950943285721223,0.04953105883018351,0.05478002331192701,0.04957780710969344,0.049506752232884,0.049736514108949074,0.05136864414952651,Ivana Janů,0.6489315915223302
ECLI:CZ:US:2023:3.US.2953.22.1,0.0007831348106550296,0.00032318567060613484,0.002077017484837373,0.008716326065017028,0.00010157862840258144,0.0284069455721673,0.0036418532394878367,0.00039809727785759233,0.10178353030736273,0.00036949098198575713,0.033469773477010745,0.0008902054510690075,0.0009746242824488379,9.471833264170285e-05,0.029793220626647604,0.008035262139316053,0.0002042041393183484,0.013609191283924241,0.0005833246960203697,0.05201249545302591,0.05198857785133231,0.05207983707641855,0.052426761580612546,0.051977058092843254,0.05346930749789237,0.05216139726507867,0.051992472545134935,0.05754023155647648,0.05199098525435525,0.05374069982657387,0.052018064762373036,0.052022456251970516,0.05197670151607507,0.053543482066355196,0.052391067760824896,0.051982392538706367,0.052683907235397356,0.05200210386855342,Josef Fiala,0.10178353030736273
ECLI:CZ:US:2023:2.US.2533.20.1,0.0006311748810606908,0.003365832603356637,0.0001794188967373602,0.10549843038534935,0.0002710684591295628,0.024173890876967263,0.005138771098154179,0.0021823891816093103,0.0006125664629814498,0.09115673267689144,0.04596796410995617,0.0013082220645600023,0.0003168509643053391,0.0004248036338291541,0.007805970889351355,0.011429422601170336,3.3332196513848073e-05,0.0033654127198292343,0.01643683585022353,0.05176042712453408,0.0519021678941924,0.05173704932275796,0.0574832245156318,0.051741791217980844,0.05299346574779446,0.05199426886616961,0.05184078094617807,0.051759463953827765,0.05666470102429856,0.05416108661231423,0.05179548324191913,0.05174416014103229,0.05174974636277013,0.052133133076206116,0.052322377618668654,0.05172949177998478,0.05190214610133165,0.05258503445240762,Ivana Janů,0.10549843038534935
ECLI:CZ:US:2023:Pl.US.92.20.1,0.0005048438256188895,0.0017271494540157695,0.00040748827825195025,0.011299903658527831,0.008688378103377992,0.001690767299339392,0.0005805856811010155,0.0005765822049817651,0.0003552798612840869,0.13717118088063893,0.0013895167569715591,0.0002048497777924603,0.00016950554769753866,0.0003224842160926942,0.009761663954543308,0.017540188349388183,0.0003300472896401917,0.029043448301127872,0.9949949260869672,0.047786309976903245,0.047844755164212445,0.04778165794099322,0.04830496044706488,0.04817897538662151,0.047843014500594354,0.047789929537761934,0.04778973821230328,0.047779163401390566,0.054784402820310475,0.047828603937231526,0.047771976518426185,0.04777028808453441,0.04777759647859438,0.048230712958863185,0.048607339637101635,0.04777795782543691,0.04916971085033726,0.12918290632131874,Vojtěch Šimíček,0.9949949260869672
ECLI:CZ:US:2023:2.US.657.22.1,0.017917348252908326,0.0002608936346216557,0.0003120054395475729,0.1031788516802863,0.0007094537930778008,0.008478454003481887,0.008625613289749983,0.008405083633819676,0.015425618356846273,0.013047478372503108,0.0022918380430519054,0.002614653046608607,0.00044738028598216806,0.0002913230576418786,0.003430636856070639,0.013224116867768376,9.821965421588175e-05,0.20330684324955645,0.004946427605717379,0.05238310268534106,0.05146632019141296,0.051468950795157724,0.057045293489584974,0.051489411110599195,0.051890990270788084,0.051898627073779534,0.05188718314931644,0.052252740623303595,0.052128623933462896,0.05157095164099218,0.05158760220531098,0.051475918868108025,0.051467886305669217,0.05162971403242743,0.05213783266843935,0.05145794864118575,0.06305286909700307,0.051708033218117636,Vladimír Sládeček,0.20330684324955645
ECLI:CZ:US:2023:3.US.2329.21.1,0.00014671248821465874,0.002667070531442166,6.0408785319845755e-05,0.0715042642288558,0.00015374831826355648,0.0003243182330908407,0.0005044114939421244,0.0015357420427704084,0.013786210080022057,0.0007962010391169636,0.0013719327230424364,0.00020965342459513845,0.0002058927155830327,9.649927946412948e-05,0.1615942976535529,0.9728452616405465,0.0027145720780923557,0.01886252166725826,0.03468924348825074,0.047685107058469546,0.04780544218168492,0.04768099183473954,0.051212143409340334,0.04768544256395895,0.04769357695955745,0.04770216702483697,0.04775138910468941,0.048339963767404535,0.047716088049362934,0.047743567622757416,0.04768810849821493,0.047687929157452756,0.04768271269634933,0.05604005558292379,0.12613057467480973,0.04780771306806173,0.04858597637564038,0.049361050369745425,Stanislav Balík,0.9728452616405465
ECLI:CZ:US:2022:3.US.3110.22.1,0.0009654975905864883,0.0010670517489600928,0.0003094498045195875,0.0006435633636714736,0.8370854102579975,0.0007555911152232948,0.00011420613425478971,0.0003245938656531012,0.05756741519727989,0.0003731802474464623,0.00018446929945150264,6.813720731324355e-05,0.00010461506165738237,0.0003899575390611746,0.010416011557139193,0.0021168778424131736,0.0006677575694477543,0.0038583056379331293,0.00020534523002997156,0.04908738076706575,0.04909236604784002,0.04905518766085238,0.04907158040256275,0.11326405963906673,0.04907707808932134,0.0490456108809012,0.049055930561238484,0.051945957978402235,0.049058314069312506,0.049049057101830475,0.049043351454281806,0.04904514048314247,0.049059137141858215,0.049553480717602856,0.0491439315573791,0.04907276766483915,0.049229586725273076,0.049050081057229446,Jan Filip,0.8370854102579975
ECLI:CZ:US:2022:3.US.2951.22.1,0.000584839102199556,0.0007782624133518364,0.00027745216307165495,0.0007174571266252151,0.9060809227431782,0.0007273499732740735,0.00014564049949468893,0.00045443121116500506,0.052416070060396905,0.0003651156692592331,0.00023966977024871138,6.853999635158324e-05,5.728038616577001e-05,0.00027725146319426214,0.014469562927102744,0.0021374105473805863,0.0011154038268848493,0.006437037420626948,0.0003360457459365493,0.04867194000775009,0.04868135520607666,0.04865698118828034,0.04867839521230766,0.12037342273868563,0.048678876782588656,0.048650568053317564,0.04866559321654594,0.05126118891341809,0.04866124681681905,0.04865514284583221,0.048646817214640085,0.048646269473525156,0.048656971422831166,0.04935244986582893,0.048747565363680655,0.04869777047396136,0.048957612945244804,0.04865983225866595,Jan Filip,0.9060809227431782
ECLI:CZ:US:2022:3.US.2746.22.1,0.0005294567309294366,0.000994745387228568,0.0002731004750213619,0.0008845071597568644,0.8454535610827962,0.0008865150119626647,0.0001592483263631469,0.0004759061295463878,0.04444252594489557,0.00034173102903304844,0.0003706252475457494,0.00010035690562390355,9.728799624492712e-05,0.00025996479712525264,0.009804095266462809,0.0021905667723003124,0.0008003180701369373,0.004785148981500163,0.0002421491997211634,0.04905100559886538,0.04907383378578696,0.0490384326783638,0.04906842427150829,0.11418098664767477,0.04906852279375111,0.04903284986525021,0.049048378958346836,0.051252979684873995,0.04904179832865828,0.049043215373567546,0.04902996233608493,0.04902981186780455,0.04903778852953828,0.049508052140115166,0.04913255242718175,0.04906429341942856,0.049260196393377066,0.0490369148998224,Jan Filip,0.8454535610827962
ECLI:CZ:US:2022:3.US.2686.22.1,0.000524416979626506,0.001066372113106985,0.0002833078362905293,0.0009487680808248695,0.8481477842767344,0.0009035047808257897,0.00015696022058764208,0.00045117449965308593,0.04137379559387733,0.00037433862519364245,0.000410367673462941,9.654774663053154e-05,9.386572355121403e-05,0.0002581228982676686,0.007921960567415542,0.001974244748841463,0.0008297610694473017,0.004764523274715266,0.00025737497892321765,0.04904791402175354,0.04907450299490859,0.04903608954677314,0.04906873197482842,0.1144823914625899,0.049066511012356887,0.049029894345158226,0.04904432176244766,0.0510929762216998,0.04904055354386681,0.049042320460167564,0.04902693241741257,0.049026800926224655,0.049034854591448226,0.04941209345948426,0.049119076623817336,0.049062892799142326,0.049256323918574506,0.04903481791734564,Jan Filip,0.8481477842767344
ECLI:CZ:US:2022:3.US.2142.22.1,0.0006506192879470637,0.0007516099562464349,0.00023371443269707966,0.0007068612476977369,0.8266323086274079,0.000983649861551079,0.00018663928638416015,0.000578865671355733,0.02569857709191483,0.0004209275651804507,0.00045380578872440886,0.00012840977718392473,0.00013531772974773414,0.0003884901694088909,0.007461197016628234,0.0024721226043655014,0.0007182126656386375,0.004116673741515942,0.0002795027195141925,0.04921472021331484,0.049219690691781094,0.049194206633910685,0.04921748822346664,0.11241242335446627,0.04923111294930686,0.049191890863943676,0.04921118900583997,0.05046301682452914,0.04920341729758635,0.04920503504513357,0.0491890265276773,0.04918936632431286,0.04920182129275142,0.04955104487333745,0.049304446683122734,0.049218046914916436,0.04938559707667844,0.04919645920392404,Jan Filip,0.8266323086274079
ECLI:CZ:US:2022:3.US.2154.22.1,0.0005868063465109867,0.0007930276370398546,0.0002447535471913237,0.0007368893180759694,0.829979679856172,0.0010032064675408105,0.000191971067555007,0.0007239452872959785,0.024938329560095732,0.0004371034348198749,0.000444090113273005,0.00012953143115613497,0.00013412797566651522,0.0003408049974897379,0.00786425759707462,0.0026959974688837525,0.0007721077381609076,0.003758033150245516,0.0002728200229794028,0.04919379866709917,0.049203944521855995,0.049176974668067946,0.049201182372656076,0.11274858695024026,0.04921428723624337,0.04917437905390603,0.049200545515158796,0.05040644759745368,0.04918643476341423,0.049186778414418666,0.049171308719414046,0.04917153473804266,0.04918169841466383,0.04955310998824267,0.04929766729140717,0.049202915191078944,0.049350050984830605,0.04917835491180599,Jan Filip,0.829979679856172
ECLI:CZ:US:2022:3.US.2699.22.1,0.0005089353696024919,0.0010181027509915117,0.000295691356524654,0.0009291178735796544,0.8456941925352978,0.0008668062596100348,0.00014769780787618163,0.0004376543331061746,0.042165368444422875,0.0003571282094625017,0.0003554044141106778,0.00010093666990739763,8.834033915942004e-05,0.0002912288430877246,0.0066204555197956925,0.0018851110468067068,0.0008649208261627122,0.005500941475800737,0.00030058139577697203,0.04906074350555892,0.0490857299964719,0.04905028271111974,0.0490813623031377,0.11423348305842285,0.0490783040595198,0.049043024122844475,0.04905724652954608,0.051147602881670355,0.04905329629869695,0.049053211740925674,0.04904073086884507,0.04904011313946949,0.04905006382406245,0.049361497323473134,0.04912830618587263,0.049078211525731025,0.04930626735511786,0.04905052256951399,Jan Filip,0.8456941925352978
ECLI:CZ:US:2022:3.US.2747.22.1,0.0005191779588979623,0.001082661007277086,0.00026210299971364466,0.000907707987074316,0.8476749129581493,0.0008117386440573875,0.00014113825927264599,0.0004083912475546479,0.04161434815389368,0.00036835821027534374,0.00044315494467026163,9.670160720210126e-05,9.690741455103379e-05,0.00028309859997585445,0.005660081965492748,0.0016048513246610945,0.0008558165564611296,0.0056084226988257005,0.00025932027734875497,0.04905432075223487,0.0490819698195873,0.04904171173553034,0.04907338353185025,0.11444381522766084,0.049068674217451605,0.04903577977638565,0.049048886486389325,0.05111221148948966,0.04904692294979154,0.04905059163666149,0.04903360083891342,0.049033610930389854,0.04904274140651536,0.04930715364430384,0.0491076066420529,0.04907083710984307,0.049304606538696505,0.049041575266252156,Jan Filip,0.8476749129581493
ECLI:CZ:US:2022:3.US.2930.22.1,0.00060048761302837,0.0010090304368753317,0.0002583746191380271,0.0009703246133640196,0.8490050041076947,0.0008451236073310741,0.0001689411461742585,0.0003400878263779563,0.04184578972533736,0.0003300062586823069,0.00040876085053865403,9.602050514839399e-05,9.997787743802534e-05,0.0002940725836345755,0.007844518882525594,0.0020332789718126385,0.0007472899102269948,0.004862465448594961,0.00025492390281425727,0.04904601268493957,0.04906605417508504,0.04902923627657882,0.0490641550698052,0.11456741286323921,0.04905801257276173,0.0490248516177724,0.04903324277641325,0.0511112277389062,0.049032748446948674,0.04903661015310176,0.049021276824505924,0.04902147082033229,0.049030986551755154,0.04940259351649409,0.04911633575521061,0.04905321328078923,0.04925549178447594,0.04902906709088477,Jan Filip,0.8490050041076947
ECLI:CZ:US:2022:3.US.2943.22.1,0.0005675932561117645,0.0010825409346055723,0.000275562458473247,0.0009777382927984516,0.8446782154273779,0.0008418766114109323,0.000151112281188951,0.00034751500834932406,0.039114909956343195,0.00034517128997404084,0.0004004058865082872,9.295204687341777e-05,9.451041137717342e-05,0.0002968488998372187,0.007403850355435812,0.0016875201428232364,0.0008758861480371777,0.0049932518405860025,0.0002533945883341968,0.04907666790898974,0.049101946333172025,0.04906233810298902,0.04909680058912693,0.11414782839893416,0.049090130668351724,0.04905623266623334,0.049065868390323474,0.05100537621880092,0.04906575339388089,0.04906846359582101,0.04905337962721435,0.049053456070319516,0.049063382476687685,0.049413318030691565,0.04913166097725124,0.04909180022933901,0.04929434581436911,0.04906125050750411,Jan Filip,0.8446782154273779
ECLI:CZ:US:2022:4.US.2296.22.2,0.00028175344870657237,0.0033414300363920338,0.0003035040885609604,0.0002649940774232611,0.7148948260179312,0.0008571152069054709,0.0005468218897994785,0.0070529886165799985,0.009825086408333485,0.0004601245266238782,0.0003035383169632045,0.0002392657310013095,0.00015577278415734522,0.00043811154821216455,0.21255468964538454,0.003367907327404544,0.00024211268400227808,0.0021832850448717626,0.0015208414667511854,0.04924517736529878,0.04939608242415126,0.04924624849106501,0.04924435205400327,0.10062739270350207,0.04927351930978413,0.04925823243786177,0.049579759531015094,0.04971739014755529,0.049253962064112464,0.049246250176685435,0.04924308509455275,0.04923897381590029,0.049252877849642294,0.06089093892390835,0.04939739031591512,0.049243225287501205,0.049338907713384166,0.04930623429416116,Jan Filip,0.7148948260179312
ECLI:CZ:US:2022:3.US.1908.22.1,0.00044017597995331414,0.00069526861714334,0.000278294241251307,0.0006030665186430197,0.8828812214645206,0.0010377995770407763,0.00018863632555818892,0.0006991908815621831,0.02800694208349081,0.0003054116069256924,0.0004590230989130405,0.00014290973881668918,0.00012122615883732911,0.0001872775684394344,0.007613100601054508,0.002165005385736312,0.0010476399884663404,0.006532393325139965,0.00012051099552027896,0.04887599211253456,0.04888846160862853,0.04886808062233077,0.048883954197675335,0.11812310726850464,0.0489052102886182,0.04886369940848644,0.048888653362478045,0.05024208806907542,0.04886940581391058,0.04887691329285295,0.048861465089381204,0.048860405609381735,0.048863633014632125,0.04922783628705495,0.048960367606715474,0.04890569153837614,0.049174664143138515,0.04886037066622448,Jan Filip,0.8828812214645206
ECLI:CZ:US:2022:3.US.2092.22.1,0.00041712902815141135,0.0006797526013474675,0.00029339368823470195,0.0006527617133191561,0.8871658378846564,0.0010327836527886172,0.00016838907552780915,0.0007391290544316214,0.02380573495398901,0.00039930756812604605,0.0004586044362717769,0.00012293234890327286,0.00012194437208077983,0.00020340480958052365,0.006679343395733624,0.001778646207382875,0.0010490705340365785,0.0068497359872900735,0.00013854910858764177,0.048862421404651635,0.048875255513551936,0.04885637577036699,0.048873936344805864,0.118600100206405,0.048892513042437885,0.048850268879738264,0.048878157639026025,0.0500187146572663,0.048861550612721245,0.04886444803554852,0.04884804835688949,0.04884800009617373,0.0488519794377098,0.049169368442998414,0.04892899374021826,0.048893309355476436,0.04917774725293591,0.048848811211078376,Jan Filip,0.8871658378846564
ECLI:CZ:US:2022:3.US.2128.22.1,0.0005541704281580587,0.0006330193895946896,0.00024608260308963754,0.0007381132266634508,0.8215026266232991,0.0012661908013034628,0.0001550671519483704,0.0006901460005993845,0.03395159976635601,0.0004065626005430985,0.00048113060075786915,0.000144433060713653,0.00015874238073094717,0.0001805277292864972,0.010593173645354406,0.0021606254879663334,0.0009425977715051869,0.008048981676296899,0.00012461031498005803,0.049200976581069034,0.049204856179923276,0.04918582069399496,0.04921002757879796,0.11181681240461797,0.04923602115351762,0.04918134422805161,0.04920766716689212,0.050871909848947974,0.04919371466777017,0.049197383081467524,0.04918082123193084,0.049181524981075635,0.04918259642941073,0.049697392936823216,0.04928007925928236,0.04922009129779149,0.04957111393595625,0.04917984634267911,Jan Filip,0.8215026266232991
ECLI:CZ:US:2022:3.US.2141.22.1,0.0004741083446938432,0.0006168135096750852,0.0002692564285117421,0.0006641894710836608,0.8879707257961396,0.0010156613499838602,0.00018218745975351095,0.0005550167308753359,0.025675456734788518,0.0003280110852902234,0.00045711377097562355,0.00013289886355262535,0.00014061019800066136,0.00020307080764890055,0.00818389805348466,0.0021805375740338033,0.0008633428661025631,0.006410437024621619,0.0001385997434615319,0.04885348645655991,0.048860458598873134,0.048843479751228484,0.04886277346490819,0.11866713206232628,0.04887995037412963,0.04883922718495195,0.0488574392732143,0.05010030495449768,0.04884634961742531,0.04885265621943771,0.048836820027327664,0.04883719662583231,0.04884024712217401,0.04923159224884516,0.04893692264253132,0.04887250562119758,0.04914435931357202,0.04883709844096737,Jan Filip,0.8879707257961396
ECLI:CZ:US:2022:3.US.2300.22.1,0.0004638452575454807,0.0006650495974188682,0.0002852166940542159,0.0006784571162258638,0.8880503212395698,0.0010158197349479686,0.00016508515691108103,0.0005729121917793659,0.023451300595857098,0.0003748264581327225,0.00046106504177184383,0.00012192225057014913,0.0001350990444650442,0.00020220975419630712,0.00671978561593025,0.00161363304558083,0.0009639969719118363,0.007063233021073147,0.00013692369654329302,0.048860787304694654,0.048870619296236505,0.04885206015192995,0.048871274534376376,0.11869553145019437,0.04888776465695265,0.04884619183134353,0.048866116691594894,0.04999698154567459,0.04885643796965959,0.04886065146135191,0.04884408353324087,0.04884472714590294,0.048848005260205385,0.04916741560006395,0.04891699915090582,0.048885231223554794,0.04918430492150017,0.048844816270617146,Jan Filip,0.8880503212395698
ECLI:CZ:US:2022:3.US.2386.22.1,0.0004419585073009535,0.0006996663177311358,0.000259776734906755,0.0007673220725005632,0.8763611113213351,0.0011344378725928767,0.00018812261627424045,0.0007538934160902849,0.02557955380737874,0.00044218792412133466,0.0005106697420547068,0.00013272283165032957,0.0001538435858673797,0.00016762440465131767,0.008242694987576463,0.002387565975416117,0.0008080970019047298,0.006252131795861909,0.0001358450607015878,0.048917569885781095,0.04893017795013647,0.04890865880794071,0.04893348847024329,0.11745505938798859,0.04895145602489916,0.048905154426653503,0.048932831363651716,0.05016282575743342,0.04891758110829572,0.04892093118788738,0.04890244516667817,0.048903478034110576,0.04890415196872294,0.0493006551888576,0.04901283692114876,0.04893548377046,0.04920261672755929,0.04890259785155151,Jan Filip,0.8763611113213351
ECLI:CZ:US:2022:3.US.1909.22.1,0.0004737451504019029,0.000660902081858139,0.0002683041942800253,0.0006203342257036755,0.8868700662639509,0.0010676261423409198,0.00017137128191174053,0.0005868439042412219,0.025822203612524165,0.0003250677312886629,0.0004486326714415924,0.00012851529358876896,0.00013560580438882696,0.00020416106885642218,0.007753098696397192,0.002030607881193981,0.000901550818784732,0.0068463175847951726,0.00014686393161761533,0.04885959967406772,0.0488687449425884,0.048849562942208144,0.048866762482585466,0.1185514677851333,0.04888862507955311,0.04884482804129181,0.04886512594640532,0.050113945914969524,0.04885233589488262,0.048858372703805095,0.04884273479276608,0.04884308111393243,0.04884642967905517,0.04921656363137342,0.04893572660805836,0.048880506559486385,0.04917195520918846,0.04884363099864918,Jan Filip,0.8868700662639509
ECLI:CZ:US:2022:3.US.1922.22.1,0.0004370935584634904,0.0006858212510961469,0.0002929148564039437,0.0006522696207061235,0.887287119095418,0.0009995686798088647,0.00017346969023402403,0.0007682985600986215,0.025079996299877293,0.0003872851380029835,0.0004954755824706767,0.00012684679637200213,0.00010925036657213116,0.00019401570066343937,0.007460348882763094,0.001823747245891521,0.0010827709597576415,0.00683968724086231,0.0001329847175739434,0.048857472034867684,0.04886962575257521,0.04885042833575169,0.04886798612446091,0.11860010253136861,0.048884960877549455,0.04884459373668592,0.04887365655402178,0.050076419482618394,0.04885503858196167,0.04886032451623897,0.048842316513462186,0.04884145707062998,0.04884559730852792,0.04920181833602729,0.048925267422121985,0.048889028386960354,0.049171290129497745,0.048842616304672314,Jan Filip,0.887287119095418
