true_author,prob_David Uhlíř,prob_Eliška Wagnerová,prob_Iva Brožová,prob_Ivana Janů,prob_Jan Filip,prob_Jan Musil,prob_Jiří Nykodým,prob_Jiří Zemánek,prob_Josef Fiala,prob_Kateřina Šimáčková,prob_Ludvík David,prob_Michaela Židlická,prob_Miloslav Výborný,prob_Pavel Varvařovský,prob_Radovan Suchánek,prob_Stanislav Balík,prob_Vladimír Kůrka,prob_Vladimír Sládeček,prob_Vojtěch Šimíček,norm_David Uhlíř,norm_Eliška Wagnerová,norm_Iva Brožová,norm_Ivana Janů,norm_Jan Filip,norm_Jan Musil,norm_Jiří Nykodým,norm_Jiří Zemánek,norm_Josef Fiala,norm_Kateřina Šimáčková,norm_Ludvík David,norm_Michaela Židlická,norm_Miloslav Výborný,norm_Pavel Varvařovský,norm_Radovan Suchánek,norm_Stanislav Balík,norm_Vladimír Kůrka,norm_Vladimír Sládeček,norm_Vojtěch Šimíček
Josef Fiala,0.00505121264327492,0.0005604295420278749,6.536373951474641e-05,5.581931083356105e-05,0.00010245461991723063,0.0009399499753786407,0.0005152727665736366,0.00010755356399317125,0.9730690521162292,3.098996780185031e-06,5.7543129490830215e-06,0.00013572212702315562,0.001388510484001915,0.014905676307992565,0.011988524938607015,4.523565647688101e-05,9.28388711778328e-06,0.0005786020191813481,5.157936125790927e-06,0.048594393581005826,0.048376655971613766,0.048352712270945,0.048352250774133555,0.04835450574887361,0.048395019385477155,0.04837447148714533,0.04835475230642284,0.1279354711688933,0.048349701695482264,0.04834983007939739,0.04835611440949513,0.048416732349412545,0.04907563254837961,0.048932680108015596,0.04835173903333204,0.048350000734009864,0.04837753510327715,0.04834980124468791
Radovan Suchánek,3.7426211400507814e-05,0.0004169932324868634,0.0002053146672335333,0.10389185218887097,0.0019740021894105496,0.0020607649207546475,2.5623564063078335e-05,0.0005013966810704997,0.04045044460217381,3.5594169676996268e-06,0.0007597378908367163,2.284055556309964e-05,0.0005775045779766132,1.34058363572538e-05,0.9939395077422899,0.001799309739669458,0.025154478827328845,0.0018903306244528472,0.001472373601891998,0.04787190419101926,0.04789007823600265,0.047879942005800966,0.05311095452995329,0.04796470159630843,0.047968863325365915,0.047871339179151054,0.047894120494346576,0.049846176799947094,0.047870282950534186,0.047906495117744544,0.0478712059529926,0.04789776575384633,0.04787075430373698,0.12933822372196266,0.0479563232569231,0.04908953293731139,0.04796068848255724,0.04794064716449566
Josef Fiala,4.399177331906138e-06,0.00022914095374592668,0.0003214075490718695,0.030454299733631833,0.0002006875463963445,0.11706635565648996,1.1213733041797885e-05,5.107615085431342e-05,0.9527100474659663,7.560853208789544e-06,0.0004092116875127913,0.000352257703388921,5.0482152238119896e-06,0.000363435216525905,0.013798886214759006,0.009008922071466842,0.0019133519054825247,0.0021116815276530252,2.5648916138250476e-05,0.0481308235641386,0.048141641786534406,0.04814608385683965,0.049618943934117477,0.048140272012277635,0.05410814618183877,0.0481311515554347,0.048133070217748805,0.12478951558871776,0.04813097573844296,0.048150311467850156,0.04814756919386771,0.048130854802877,0.04814810736696261,0.04879936407134619,0.048566175794821656,0.04822279078369869,0.04823235574005057,0.04813184634243472
Josef Fiala,0.0002255148985648998,0.0011128307427369821,0.0009144116792068799,0.003909256291679774,0.0001836207162045353,0.022829184636932547,9.709074535504996e-06,0.000221877482136614,0.99953898744572,6.2381320252705585e-06,3.943695052973389e-05,7.263316812788424e-05,1.9462206778523436e-05,0.0002772405161645854,0.00018908606544349872,3.9560364229548466e-05,0.0002399264865611298,4.646452553039755e-05,1.456571739189817e-07,0.048209130573811224,0.0482519262830507,0.04824235313080346,0.04838704804341149,0.0482071109340094,0.04931124280572175,0.048198727885182764,0.0482089552174466,0.1309560678007718,0.04819856059045955,0.048200160752286364,0.04820176084186927,0.048199197976042205,0.04821162428535793,0.048207374403426435,0.0482001667008469,0.04820982534894511,0.04820049948372132,0.0481982669428358
Josef Fiala,6.245453569701275e-05,0.0012397755950405646,0.0007084561943685013,0.004633900959319051,0.0002824424350279352,0.0022172511375117923,7.198014006379155e-06,0.0001309315179153159,0.999908129575945,3.270519562705904e-06,4.352592599581585e-05,8.459058381598514e-05,1.4229356595609438e-05,0.0002883885273124301,0.0005617994556778577,6.786911413555578e-05,0.0009466952766015296,6.126548257050091e-05,1.4518068222658173e-07,0.048243673076416166,0.04830050481674702,0.04827484863789198,0.04846472131329207,0.04825428726816633,0.04834774046097691,0.04824100737249783,0.04824697677067179,0.13111966326351918,0.048240817906581475,0.048242759899400564,0.04824474101250472,0.04824134657274002,0.048254574193464586,0.0482677693251571,0.0482439342962754,0.04828635096362376,0.04824361571215996,0.04824066713791325
Josef Fiala,0.0009276614836865552,0.000476856988986848,8.079322308138217e-05,2.641093729264989e-05,4.537110602515586e-05,0.007418443167759546,1.2336402015741714e-06,1.9742474341848388e-05,0.9982683674381665,0.0001459891987877417,3.986653560957938e-05,0.00029345830633208944,0.005445343540169378,0.006807911375058621,0.05652849099237712,8.764796897266314e-06,0.0007110521249515101,0.003576835847791417,6.070638490582111e-05,0.048126413442520596,0.048104722728529954,0.0480856739634001,0.048083059025640064,0.04808397069719506,0.04843980747124433,0.04808184843941763,0.04808273838661148,0.1304737253745334,0.0480888090580283,0.048083706016320976,0.048095901194705644,0.04834432513422112,0.04841024245486041,0.05087807030511874,0.04808221055271602,0.048115989939921465,0.0482540777310654,0.04808470808394939
Josef Fiala,0.00040683372309460275,0.0003580426545698519,5.882264364309768e-05,0.0002406915656555933,4.286829170005226e-05,0.008871886961436818,7.679158005156481e-07,5.97051691822889e-05,0.9993976041333423,0.0003363134323494198,0.0003781828185007523,0.0005945377104711952,0.0010986701554270841,0.0016107697545799833,0.0033757472657658153,6.413237661074554e-06,0.0003519339055232631,0.0025984865076951035,1.9888143716631267e-05,0.0482423582593942,0.048240004520607754,0.048225572305239495,0.0482343438356983,0.04822480290362395,0.04865246573227485,0.04822277266403125,0.04822561486555748,0.13100404591983664,0.04823895631421801,0.0482409760919906,0.04825141439230949,0.048275745628387115,0.04830047394951347,0.04838579847559897,0.048223044897872366,0.04823970983542621,0.048348204705169866,0.0482236947032501
David Uhlíř,0.04420752476058779,0.0005662157055574859,0.00041457339084754736,0.0001699372360892946,0.00020579231091660997,0.19825456442870637,0.0030560245765979873,0.09017532397319832,0.0011117478821630177,0.00035676376390366164,0.06769045871134731,0.0018654534970584673,0.0032516298744214127,0.00012421455470461589,0.007168900626351336,5.6519996927171856e-05,0.00010016752699426498,0.006955946750703613,8.673837395728943e-05,0.05372552577789493,0.05143129914360838,0.05142350057366925,0.051410922064866436,0.051412765440371,0.06267328426844801,0.05155951279597519,0.05625281184324254,0.05145936422668274,0.05142052788621074,0.055002088811246796,0.05149816405842811,0.051569599096266,0.05140857147339526,0.05177200736365778,0.051405091510672,0.05140733526491612,0.051760983487869824,0.051406644912579055
Vojtěch Šimíček,0.0003768156521002082,0.0017458273382296996,0.00043481667720095675,0.023464132342763955,4.881428249540461e-05,0.003160480451418294,0.0018221481839834498,9.367233327472803e-06,0.00011836565493798822,0.002054206760044795,0.009520634198693048,0.0005534300375116047,0.0013212181954101703,0.00102311318405075,0.006576657572985339,0.00018295249550223257,5.609490874004566e-05,0.0002537950669959526,0.8869494321384834,0.048844638823844835,0.04891155349823414,0.04884747194512846,0.04998544891814615,0.048828620342598265,0.048980795344710656,0.04891528661181963,0.048826694235600675,0.04883201655826193,0.048926639140753306,0.049293313512077,0.04885326625155285,0.048890789614008785,0.04887621719677875,0.04914840855235851,0.048835170565782404,0.04882897584682717,0.048838630297391314,0.1185360627441252
Ludvík David,0.0004054625890242616,0.0011933103596576135,0.00024848564983861706,0.016340291075695693,0.0005000193536776631,0.0039081940445280725,0.001537710358339025,0.0007254169265708656,0.00030079908729636223,0.0014788371666541566,0.07719575642876268,0.0013159166631293367,0.010507842506361243,5.444863328534307e-05,0.011086844078028854,0.038511560513367495,0.0018793094624927984,0.0013583440233909917,0.00010912544181666817,0.052178558007619606,0.052219682966197035,0.05217036782014455,0.05301667426518267,0.052183492076520205,0.05236164595081052,0.05223767052222108,0.052195255434645725,0.05217309710280711,0.052234595214358734,0.05634322137412975,0.05222608582100115,0.05270835723483802,0.052160245819673386,0.05273888429327159,0.054205248648369814,0.05225551791182715,0.052228301682965585,0.05216309785341636
Ludvík David,0.002192342832880225,0.11394923763063497,0.00031028748632132866,0.03320723038326567,0.0004093195392353421,0.12485173475705229,0.003310935691043099,0.0007984621568167422,0.0004575824466394016,0.0004732548111405388,0.0002481196691427311,0.0003788934913713966,0.00011078427254809469,0.0019128749123150529,0.0035077950138713196,0.011193658521326566,3.2548018684343853e-06,0.0003565757162882394,0.008237558860531242,0.05186952577126991,0.05800262919570299,0.05177199625972648,0.05350346045606745,0.051777123600680895,0.058638462480964854,0.051927579115328706,0.05179727620695436,0.05177962257550629,0.05178043409098419,0.05176877780777114,0.05177554825140591,0.05176166861032309,0.05185503192813835,0.05193780254964562,0.05233852739650834,0.05175610300473459,0.05177439274925939,0.05218403794902746
Vojtěch Šimíček,0.0003543972035664136,0.0024972777386742064,0.00046384159919929716,0.024878565400501828,0.01626156906286072,0.002467569321622132,0.0005818481584781254,0.0003944934560622099,0.00022852666177958746,0.33143774884449867,0.0011652681757367274,0.00014062087033704453,0.00013372359568141406,0.0006384730131258815,0.00817050466438978,0.039292625959858773,0.000560029729382534,0.0689600518611904,0.003324477239531541,0.051124072257870315,0.051233742500334516,0.05112966780725604,0.05239334795526723,0.051943814264488124,0.05123222044955414,0.05113570179944937,0.05112612218267706,0.05111763764816927,0.0711890361066074,0.05116554409592582,0.05111314430927328,0.05111279176909425,0.05113859743311273,0.051525229201088756,0.053154017846529365,0.05113458611093674,0.054754585702398675,0.05127614055996712
