doc_id,judge_rapporteur,formation,prob_David Uhlíř,prob_Eliška Wagnerová,prob_Iva Brožová,prob_Ivana Janů,prob_Jan Filip,prob_Jan Musil,prob_Jiří Nykodým,prob_Jiří Zemánek,prob_Josef Fiala,prob_Kateřina Šimáčková,prob_Ludvík David,prob_Michaela Židlická,prob_Miloslav Výborný,prob_Pavel Varvařovský,prob_Radovan Suchánek,prob_Stanislav Balík,prob_Vladimír Kůrka,prob_Vladimír Sládeček,prob_Vojtěch Šimíček,predicted_author,max_probability,prob_rapporteur,rapporteur_is_trained_author
1-1056-07_2,Vojen Güttler,I. senát,0.0016003309065394065,0.004238433138484714,0.0001966411806232372,0.48632654850029466,1.926634794461836e-05,0.00022566824200179964,0.001479051052947145,0.0005598026039604666,0.0002676814083021768,4.998230323095532e-05,0.0016574175820810938,0.0009676265159221994,0.00116132269780316,0.0011126840758442814,0.061555017137942786,0.06194915275972208,0.0003716415369721935,0.0015054131783960871,0.00038329329574909746,Ivana Janů,0.48632654850029466,,False
1-1099-18_1,Tomáš Lichovník,I. senát,0.00041059302545091194,0.000929251164685576,5.817346425802173e-05,0.37358440308775936,0.0006160297139600978,0.00048773964562295224,0.001817020678070039,4.872955787248851e-05,1.9870525609550375e-05,0.0021095605583207624,0.028049165517667264,0.004852382024612906,0.006778967055457358,0.024855668925510596,0.10290647570859422,0.01969772443868839,1.8703792710301163e-06,0.0028114580041786576,0.005980632871917139,Ivana Janů,0.37358440308775936,,False
1-139-04,Vojen Güttler,I. senát,0.00356283778979174,3.010729539602027e-05,0.00017825034803736916,0.6095581804181078,8.246264486325093e-05,0.29714465221841996,0.009378101240450503,6.93232011010479e-05,8.646820297247827e-05,0.000274966146433941,0.007068564745539317,0.0019334126914179977,0.027734771207733988,0.0035795021653882444,0.0008577005575654784,0.0025171006968169496,5.469098856263862e-05,0.008933789187124676,0.008447668689979062,Ivana Janů,0.6095581804181078,,False
1-1524-15_1,Kateřina Šimáčková,I. senát,0.004048765683731529,0.000994406754147229,0.0002507691640184266,0.10064890187474561,0.0005159059941032554,0.000674431008180964,0.013589950350773655,0.0019944763936887546,0.00020712477086424163,7.600442284968909e-05,0.0014825581012982891,0.0009061588404960364,0.0071334485287696345,0.002094485530363344,0.13475990520014985,0.0025587547658950226,2.8205926212677513e-06,0.027820909853533048,9.607638459252222e-05,Radovan Suchánek,0.13475990520014985,7.600442284968909e-05,True
1-1586-09_1,Eliška Wagnerová,I. senát,0.00019328452799774427,0.002286075446287798,0.00016742048973030925,0.16910137132271577,0.00020223426478218015,0.017759163658159258,0.001168743917982812,0.00947142854259327,0.00019106286631928062,0.07015997590482784,0.01786341253144515,0.0008150750408322636,0.0009543855095165674,0.00022470544112019615,0.12893156741385126,0.011124898325965712,0.0003589364267757519,0.15006938792670324,0.000177801291453049,Ivana Janů,0.16910137132271577,0.002286075446287798,True
1-1822-14_1,Kateřina Šimáčková,I. senát,0.00470913021480422,0.00012015466164702551,0.0006571024129815777,0.9055730833488929,0.0019607568345972257,0.00011373727968839293,0.009793016760826426,0.0007203463554440856,0.0014887549358240679,0.011036226145818707,0.0030106182745658085,6.360454763409388e-05,0.0008299762752743085,0.00028105324810276904,0.0005014571067294087,0.0007984742538911478,5.119055749817387e-05,0.035074658563703315,5.1465911294222744e-05,Ivana Janů,0.9055730833488929,0.011036226145818707,True
1-1835-07_1,Eliška Wagnerová,I. senát,0.003093418983111693,0.1320524835960186,0.0016741197468284129,0.013461277755922853,0.00021628986885484003,0.03330234972018942,0.0015993556966663114,0.0002225847551042282,0.0002112573827680921,0.021537877702277157,0.00043832546765657784,0.0020636246678273165,0.0010800235342106987,0.0011428886414567396,0.0009478061173073492,0.017095870400424172,4.0155202700863565e-05,0.0024796054175233464,0.011942772692124558,Eliška Wagnerová,0.1320524835960186,0.1320524835960186,True
1-1922-09_1,Eliška Wagnerová,I. senát,0.004410972578933771,0.0011582982226093178,0.00041723223408783393,0.011305745365040375,0.00995288095651625,0.009346013889453645,0.0004939761052839038,0.00039379250879481277,0.00029960164872494435,0.00015440214203717314,0.000272484000320253,6.985210501263124e-05,0.00034299136753830346,0.013657960742431027,0.4122926135382521,0.0015141328457278131,0.00010203952124441341,0.006771011335252328,0.0003710723741591769,Radovan Suchánek,0.4122926135382521,0.0011582982226093178,True
1-1947-07_1,Eliška Wagnerová,I. senát,8.863818230626787e-05,0.0005626644558997244,0.0004110313656015938,0.17601300381850232,8.39299922302489e-05,0.00035072206694963624,0.00036271588896739064,0.0011937011579709767,0.0011055908526012273,0.00013360809075745395,0.0007678895329817465,0.0029474009925743055,0.003181772990861863,0.011329903811906067,0.7581049549252482,0.0016179535462669964,2.2632910055829357e-05,0.0022086697797253046,6.953003849002636e-05,Radovan Suchánek,0.7581049549252482,0.0005626644558997244,True
1-2-95,Vojen Güttler,I. senát,0.027542340047209936,0.0034249713048814063,0.001528220443127674,0.01022300822426823,0.0032285888462978605,0.047441016586979946,0.0001179909956615174,1.7567149324476015e-05,0.0005550512731765675,0.0003025663698970147,0.0002646974832547415,0.0028075441597792262,0.0029192376036345277,0.007875180777410385,0.010827413189864646,0.00995902699828332,4.475236649139066e-05,0.0006708586309426102,3.943133972240858e-05,Jan Musil,0.047441016586979946,,False
