doc_id,label,words,judge_rapporteur_name,separate_opinion,predicted_author,max_probability,prob_rapporteur,prob_David Uhlíř,prob_Eliška Wagnerová,prob_Iva Brožová,prob_Ivana Janů,prob_Jan Filip,prob_Jan Musil,prob_Jiří Nykodým,prob_Jiří Zemánek,prob_Josef Fiala,prob_Kateřina Šimáčková,prob_Ludvík David,prob_Michaela Židlická,prob_Miloslav Výborný,prob_Pavel Varvařovský,prob_Radovan Suchánek,prob_Stanislav Balík,prob_Vladimír Kůrka,prob_Vladimír Sládeček,prob_Vojtěch Šimíček,norm_David Uhlíř,norm_Eliška Wagnerová,norm_Iva Brožová,norm_Ivana Janů,norm_Jan Filip,norm_Jan Musil,norm_Jiří Nykodým,norm_Jiří Zemánek,norm_Josef Fiala,norm_Kateřina Šimáčková,norm_Ludvík David,norm_Michaela Židlická,norm_Miloslav Výborný,norm_Pavel Varvařovský,norm_Radovan Suchánek,norm_Stanislav Balík,norm_Vladimír Kůrka,norm_Vladimír Sládeček,norm_Vojtěch Šimíček
1-1056-07_2,HEAD,220,Vojen Güttler,Ivana Janů,Jiří Zemánek,0.9998780876557144,,0.02054279589935821,0.000597383060230522,0.03869521566432737,0.01741764850335299,9.164774090330458e-06,1.0911329011645647e-08,0.031420014468032116,0.9998780876557144,0.002563233432802378,4.279755015759159e-06,0.0007208663971014416,0.005493139672601059,5.5919081203957495e-08,0.00979582309045234,9.503303826888802e-06,6.770100490196976e-06,0.000636660612636683,5.9692899478313914e-06,1.0746912304362443e-10,0.04896282003166806,0.04799591112541347,0.049859729605012955,0.04881004285208958,0.047967687354512394,0.04796724826689506,0.04949830634813177,0.13037260290384345,0.048090356707706915,0.04796745303201704,0.04800183818661451,0.048231463557876816,0.047967250425793126,0.048439435373938286,0.04796770359300371,0.04796757248769537,0.047997796324350736,0.047967534074773006,0.04796724774866363
1-1056-07_2,REC,581,Vojen Güttler,Ivana Janů,Josef Fiala,0.5189015861893296,,0.014064966654085838,0.0002948910739672564,0.013036892431161993,0.0021782290419993322,0.00041737475436358503,0.017687361548882348,0.013791368026048705,0.003796293073097796,0.5189015861893296,0.00016881381608862026,0.024080077983449678,4.851343153162232e-05,1.3431274903120235e-05,1.5875372829140597e-05,0.020108598067793904,1.2083966289133262e-05,5.18885548614553e-05,0.0002011372287504063,1.923880817948924e-06,0.05124347060645109,0.05054268018507534,0.05119081558649956,0.05063795882645294,0.050548871217703975,0.05142943130095875,0.051229452380968384,0.050719960610415865,0.08489581736182301,0.05053630830423483,0.05175925819330712,0.05053022913258241,0.05052845645426438,0.05052857995091092,0.0515541049895082,0.05052838837688561,0.05053039967862543,0.05053794183658307,0.050527875006748935
1-1056-07_2,PART,194,Vojen Güttler,Ivana Janů,Stanislav Balík,0.9636087827488056,,0.0019177466453252155,0.0012744608112261685,0.0013224512250190725,0.002425533701232837,0.0001393729134548316,0.0008190388971237289,0.0010254523208911663,5.881499487432173e-06,0.07979574715245104,6.443944495060736e-07,3.6334419465188586e-06,5.492005924048118e-05,0.0012873458176424744,0.0006507921664613196,0.004797618197893829,0.9636087827488056,0.00016963037812919821,5.1067514468428014e-05,0.0029507178557343855,0.04834790063855255,0.04831680912040212,0.04831912791970459,0.04837245731092965,0.04826199640961812,0.048294809596622044,0.04830477932252831,0.04825555427747075,0.052263634353623495,0.04825530155872609,0.048255445796329996,0.04825792071837554,0.048317431686808535,0.04828668483630079,0.04848733706535756,0.12648374943715593,0.048263456717362097,0.048257734802933494,0.048397868431198435
1-1056-07_2,PROC,25,Vojen Güttler,Ivana Janů,Radovan Suchánek,0.9999999956193224,,2.5981607727511406e-09,1.6303182529392665e-05,3.060102741307816e-05,4.998950890584837e-07,0.000621401046568522,0.0014470731658499027,4.528213671051109e-07,0.0002604959112069269,0.9999997449375346,9.348729514744507e-15,0.029243474002556433,2.1673544292581594e-05,2.470544748781368e-08,0.7416365353938028,0.9999999956193224,0.0002416647836226141,1.1624754177980354e-07,4.638185589119992e-05,4.737074993057737e-07,0.04242988299275247,0.04243057463027698,0.04243118130038839,0.0424299040930082,0.04245625704976068,0.04249132647342605,0.04242990209567474,0.042440937133247744,0.1153363502052025,0.04242988288251321,0.0436890008210277,0.04243080249842443,0.042429883930762066,0.08907595514391542,0.11533637911792859,0.042440137930070766,0.04242988781488269,0.042431850904866064,0.04242990298187129
1-1056-07_2,FACT,478,Vojen Güttler,Ivana Janů,Stanislav Balík,0.34006911902752635,,0.003615680556914263,0.00010132701058293211,0.000168420111238442,0.06772482770989657,6.158298011982296e-05,0.027517586982483574,0.004815764921311774,0.004702337139376758,0.03487083432684693,1.4199447253357889e-05,0.0025376369688500117,3.339179813467145e-05,0.0012617217393279731,0.00017210264753144916,0.001384368992059156,0.34006911902752635,6.758477262749967e-05,0.015445504167675213,1.172903121414818e-05,0.05127572318816128,0.05109583844297191,0.051099266736209764,0.05467062554939178,0.05109380772876695,0.05251607506228303,0.051337295320319415,0.051331472575017474,0.052903662016734306,0.05109138678100614,0.05122047550860891,0.05109236735423798,0.051155164198552046,0.05109945491146055,0.05116143862366664,0.07178466303183592,0.0510941143841196,0.05188590802247549,0.051091260564180674
1-1056-07_2,RATIO,786,Vojen Güttler,Ivana Janů,Ivana Janů,0.48632654850029466,,0.0016003309065394065,0.004238433138484714,0.0001966411806232372,0.48632654850029466,1.926634794461836e-05,0.00022566824200179964,0.001479051052947145,0.0005598026039604666,0.0002676814083021768,4.998230323095532e-05,0.0016574175820810938,0.0009676265159221994,0.00116132269780316,0.0011126840758442814,0.061555017137942786,0.06194915275972208,0.0003716415369721935,0.0015054131783960871,0.00038329329574909746,0.050663879181226765,0.050797712128854235,0.05059281270385588,0.08226448076633651,0.050583839607992,0.05059428128584975,0.050657735045964686,0.05061118939837935,0.05059640695645602,0.05058539336281002,0.050666771496214805,0.05063183406103623,0.05064164220384473,0.05063917912405509,0.05379432082574967,0.0538155272626681,0.05060166723885854,0.05065907050913368,0.05060225684071386
1-1056-07_2,DISP,4,Vojen Güttler,Ivana Janů,Ivana Janů,1.0,,5.815558011495994e-16,1.0059622898604563e-24,2.789924248660125e-09,1.0,6.503218779943271e-07,1.658037532049088e-08,0.9509681338937271,7.497017080526474e-23,0.9999986123358848,7.020223775195443e-08,1.0,0.07212949554115465,7.947893994077084e-14,0.9474418432088026,1.3176109417798993e-09,2.4501474154844974e-11,2.1508186727066915e-18,2.0584043563909812e-11,0.9999999999996976,0.0343462778280891,0.034346277828089085,0.0343462779239126,0.09336286289530037,0.03434630016423224,0.03434627839756327,0.08889552346420093,0.034346277828089085,0.09336273333909571,0.03434628023927473,0.09336286289530037,0.03691519105979571,0.03434627782809182,0.08858260405453287,0.034346277873344114,0.03434627782893062,0.034346277828089085,0.03434627782879607,0.09336286289527213
1-1056-07_2,DIS,599,Vojen Güttler,Ivana Janů,Ivana Janů,0.9972382007072932,,0.0005313291378883186,6.845552382272289e-05,0.0016808434492434194,0.9972382007072932,2.3649909897703336e-05,0.0020632129998089093,0.00043790716943030547,0.0025874096302799317,0.004621184646259558,0.00013415039284005897,0.002358176011933957,0.0007720164782352243,0.0015259722802289136,0.001775037057113706,0.0019956732133134987,0.00010049611747544411,0.0004544697792412315,0.000179127667416281,3.059315739050322e-05,0.04825989851496827,0.04823756545042011,0.04831540585610508,0.1307527099444971,0.04823540418510462,0.04833388372859044,0.04825539019084296,0.04835922682938224,0.048457678697239444,0.048240734515058586,0.04834814253933022,0.04827151545955692,0.04830792377211323,0.048319957072842784,0.04833061937864091,0.048239111035414096,0.04825618943266072,0.048242904300615785,0.04823573909661648
1-1099-18_1,HEAD,141,Tomáš Lichovník,David Uhlíř,Jiří Zemánek,0.9857721122926181,,0.011820346447905848,0.0003987696420688844,0.32578028939591236,0.0016190425927750253,8.371680827126567e-06,1.4731631104421997e-09,7.22587825777869e-06,0.9857721122926181,0.6619914968477145,2.470966466347444e-07,0.000319315776390145,0.012287068079687128,1.1193815958265193e-07,0.0003534560933664902,0.021422904960727428,2.078370609844526e-05,0.5597409983586795,2.1105987034679388e-05,1.5884143416184227e-11,0.04437626259928336,0.04387229921449455,0.060743777153116074,0.043925868072178,0.04385517490119222,0.04385480782580741,0.043855124651848924,0.1175256333753012,0.08501909265453068,0.04385481859757939,0.04386881352920317,0.04439697879494833,0.043854812670228865,0.04387031124996862,0.044804440770287474,0.043855719236109515,0.07675552357204946,0.043855733369974045,0.04385480776189872
1-1099-18_1,REC,517,Tomáš Lichovník,David Uhlíř,Ivana Janů,0.6930676487029792,,0.04085147077076803,0.05710535438883529,0.0014504325167284374,0.6930676487029792,1.1252210737497378e-05,0.07571405362880038,0.002506826159471846,6.180959789507834e-06,0.001673910323903359,9.96168718949886e-05,2.3477425151558157e-06,0.007622069023161065,0.0031249836311447363,0.0026829044231345515,0.0014960831486381145,0.025582604229149732,1.5420960355012224e-05,0.0013664065188450836,0.06779964623647686,0.051322404998732384,0.052163409677417394,0.04933956838005638,0.09852827663118188,0.049268610917476564,0.05314319083249738,0.04939171792680385,0.049268361064620285,0.04935059591076322,0.04927296471394403,0.04926817220864953,0.04964501584733474,0.049422259224972356,0.04940041550044008,0.04934182081394322,0.05054472232162457,0.04926881630640759,0.049335422747761,0.05272425397537333
