file_id	ecli
3-1773-19_1	ECLI:CZ:US:2021:3.US.1773.19.1
3-183-03	ECLI:CZ:US:2005:3.US.183.03
3-1862-16_1	ECLI:CZ:US:2017:3.US.1862.16.1
3-1889-20_1	ECLI:CZ:US:2020:3.US.1889.20.1
3-1908-22_1	ECLI:CZ:US:2022:3.US.1908.22.1
3-1909-22_1	ECLI:CZ:US:2022:3.US.1909.22.1
3-1922-22_1	ECLI:CZ:US:2022:3.US.1922.22.1
3-1961-15_1	ECLI:CZ:US:2017:3.US.1961.15.1
3-2001-09_2	ECLI:CZ:US:2010:3.US.2001.09.2
3-2039-20_1	ECLI:CZ:US:2020:3.US.2039.20.1
3-2092-22_1	ECLI:CZ:US:2022:3.US.2092.22.1
3-2116-21_1	ECLI:CZ:US:2021:3.US.2116.21.1
3-2126-22_1	ECLI:CZ:US:2022:3.US.2126.22.1
3-2128-22_1	ECLI:CZ:US:2022:3.US.2128.22.1
3-2141-22_1	ECLI:CZ:US:2022:3.US.2141.22.1
3-2142-22_1	ECLI:CZ:US:2022:3.US.2142.22.1
3-2154-22_1	ECLI:CZ:US:2022:3.US.2154.22.1
3-2171-17_5	ECLI:CZ:US:2021:3.US.2171.17.5
3-22-20_2	ECLI:CZ:US:2020:3.US.22.20.2
3-2269-20_1	ECLI:CZ:US:2021:3.US.2269.20.1
3-2276-22_1	ECLI:CZ:US:2022:3.US.2276.22.1
3-2289-22_1	ECLI:CZ:US:2022:3.US.2289.22.1
3-2300-22_1	ECLI:CZ:US:2022:3.US.2300.22.1
3-2301-14_1	ECLI:CZ:US:2015:3.US.2301.14.1
3-2301-22_1	ECLI:CZ:US:2022:3.US.2301.22.1
3-2325-19_1	ECLI:CZ:US:2021:3.US.2325.19.1
3-2329-21_1	ECLI:CZ:US:2023:3.US.2329.21.1
3-2386-22_1	ECLI:CZ:US:2022:3.US.2386.22.1
3-2387-22_1	ECLI:CZ:US:2022:3.US.2387.22.1
3-2408-22_1	ECLI:CZ:US:2022:3.US.2408.22.1
3-2410-18_1	ECLI:CZ:US:2020:3.US.2410.18.1
3-2498-19_2	ECLI:CZ:US:2021:3.US.2498.19.2
3-2616-22_1	ECLI:CZ:US:2022:3.US.2616.22.1
3-2686-22_1	ECLI:CZ:US:2022:3.US.2686.22.1
3-2699-22_1	ECLI:CZ:US:2022:3.US.2699.22.1
3-2707-18_2	ECLI:CZ:US:2020:3.US.2707.18.2
3-271-96	ECLI:CZ:US:1997:3.US.271.96
3-2746-22_1	ECLI:CZ:US:2022:3.US.2746.22.1
3-2747-22_1	ECLI:CZ:US:2022:3.US.2747.22.1
3-2759-16_1	ECLI:CZ:US:2016:3.US.2759.16.1
3-2809-09_2	ECLI:CZ:US:2010:3.US.2809.09.2
3-291-03	ECLI:CZ:US:2006:3.US.291.03
3-2930-22_1	ECLI:CZ:US:2022:3.US.2930.22.1
3-2943-22_1	ECLI:CZ:US:2022:3.US.2943.22.1
3-2951-22_1	ECLI:CZ:US:2022:3.US.2951.22.1
3-2953-22_1	ECLI:CZ:US:2023:3.US.2953.22.1
3-2959-10_1	ECLI:CZ:US:2011:3.US.2959.10.1
3-3006-21_1	ECLI:CZ:US:2022:3.US.3006.21.1
3-3110-22_1	ECLI:CZ:US:2022:3.US.3110.22.1
3-3158-07_2	ECLI:CZ:US:2008:3.US.3158.07.2
3-3190-20_2	ECLI:CZ:US:2022:3.US.3190.20.2
3-3255-13_1	ECLI:CZ:US:2014:3.US.3255.13.1
3-3339-20_1	ECLI:CZ:US:2021:3.US.3339.20.1
3-3386-09_1	ECLI:CZ:US:2010:3.US.3386.09.1
3-3393-15_2	ECLI:CZ:US:2017:3.US.3393.15.2
3-3454-21_1	ECLI:CZ:US:2023:3.US.3454.21.1
3-361-21_1	ECLI:CZ:US:2021:3.US.361.21.1
3-3616-10_1	ECLI:CZ:US:2011:3.US.3616.10.1
3-3657-19_1	ECLI:CZ:US:2020:3.US.3657.19.1
3-377-20_2	ECLI:CZ:US:2022:3.US.377.20.2
3-3804-19_1	ECLI:CZ:US:2021:3.US.3804.19.1
3-4121-18_1	ECLI:CZ:US:2020:3.US.4121.18.1
3-415-15_1	ECLI:CZ:US:2015:3.US.415.15.1
3-449-06_2	ECLI:CZ:US:2011:3.US.449.06.2
3-450-20_1	ECLI:CZ:US:2020:3.US.450.20.1
3-468-11_2	ECLI:CZ:US:2012:3.US.468.11.2
3-61-21_2	ECLI:CZ:US:2021:3.US.61.21.2
3-655-06_1	ECLI:CZ:US:2007:3.US.655.06.1
3-663-15_1	ECLI:CZ:US:2015:3.US.663.15.1
3-678-11_1	ECLI:CZ:US:2011:3.US.678.11.1
3-696-07_1	ECLI:CZ:US:2009:3.US.696.07.1
3-74-94	ECLI:CZ:US:1995:3.US.74.94
3-747-06_1	ECLI:CZ:US:2007:3.US.747.06.1
3-880-15_1	ECLI:CZ:US:2015:3.US.880.15.1
3-905-06_1	ECLI:CZ:US:2009:3.US.905.06.1
3-916-13_1	ECLI:CZ:US:2015:3.US.916.13.1
3-95-08_1	ECLI:CZ:US:2009:3.US.95.08.1
4-1204-21_1	ECLI:CZ:US:2021:4.US.1204.21.1
4-140-02	ECLI:CZ:US:2002:4.US.140.02
4-1434-08_1	ECLI:CZ:US:2009:4.US.1434.08.1
4-1448-21_2	ECLI:CZ:US:2022:4.US.1448.21.2
4-1463-09_1	ECLI:CZ:US:2010:4.US.1463.09.1
4-1568-18_1	ECLI:CZ:US:2019:4.US.1568.18.1
4-1664-21_1	ECLI:CZ:US:2021:4.US.1664.21.1
4-1779-23_2	ECLI:CZ:US:2023:4.US.1779.23.2
4-1827-23_1	ECLI:CZ:US:2023:4.US.1827.23.1
4-1875-23_1	ECLI:CZ:US:2023:4.US.1875.23.1
4-1971-23_1	ECLI:CZ:US:2023:4.US.1971.23.1
4-2005-09_1	ECLI:CZ:US:2012:4.US.2005.09.1
4-2019-23_1	ECLI:CZ:US:2023:4.US.2019.23.1
4-2081-21_1	ECLI:CZ:US:2021:4.US.2081.21.1
4-2155-21_1	ECLI:CZ:US:2022:4.US.2155.21.1
4-2163-11_2	ECLI:CZ:US:2013:4.US.2163.11.2
4-222-99	ECLI:CZ:US:1999:4.US.222.99
4-223-04	ECLI:CZ:US:2005:4.US.223.04
4-2296-22_2	ECLI:CZ:US:2022:4.US.2296.22.2
4-23-05_2	ECLI:CZ:US:2007:4.US.23.05.2
4-23-2000	ECLI:CZ:US:2000:4.US.23.2000
4-2421-23_1	ECLI:CZ:US:2023:4.US.2421.23.1
4-2611-20_3	ECLI:CZ:US:2020:4.US.2611.20.3
4-2719-20_1	ECLI:CZ:US:2021:4.US.2719.20.1
4-2732-20_2	ECLI:CZ:US:2021:4.US.2732.20.2
4-276-04	ECLI:CZ:US:2005:4.US.276.04
4-2821-20_1	ECLI:CZ:US:2021:4.US.2821.20.1
4-2884-22_2	ECLI:CZ:US:2023:4.US.2884.22.2
4-2956-07_1	ECLI:CZ:US:2009:4.US.2956.07.1
4-298-05_1	ECLI:CZ:US:2005:4.US.298.05.1
4-302-99	ECLI:CZ:US:2000:4.US.302.99
4-3073-15_1	ECLI:CZ:US:2016:4.US.3073.15.1
4-3163-15_1	ECLI:CZ:US:2016:4.US.3163.15.1
4-324-99	ECLI:CZ:US:1999:4.US.324.99
4-331-02	ECLI:CZ:US:2002:4.US.331.02
4-34-06_1	ECLI:CZ:US:2007:4.US.34.06.1
4-34-97	ECLI:CZ:US:1997:4.US.34.97
4-3480-10_2	ECLI:CZ:US:2011:4.US.3480.10.2
4-3502-20_1	ECLI:CZ:US:2021:4.US.3502.20.1
4-353-04	ECLI:CZ:US:2005:4.US.353.04
4-366-99	ECLI:CZ:US:2000:4.US.366.99
4-378-16_2	ECLI:CZ:US:2016:4.US.378.16.2
